text,intent
see you,exit
what can i do to get better marks,recommendation
how should i prepare to improve my marks,recommendation
which subject has the lowest score,lowest_subject
are my marks improving recently,trend
where should i focus,recommendation
how good are my studies,performance
did my scores increase in the latest exam,trend
which subject has the minimum marks,lowest_subject
what changes should i make to my study habits,recommendation
are my marks getting better,trend
which subject did i score the least in,lowest_subject
show my marks,marks
which subject has my best score,highest_subject
what is my worst mark,lowest_subject
what marks did i get on average,average
tell me my weakest subject,lowest_subject
what can i do to perform better in my exams,recommendation
where am i weak,recommendation
how regular am i in class,attendance
should i be concerned about my performance,risk
how is my performance changing,trend
what is my current performance,performance
what percentage of classes did i attend,attendance
how can i improve my academic performance,recommendation
how would you rate my performance,performance
which subject has the least marks,lowest_subject
give me an overview of my performance,performance
tell me if my performance is concerning,risk
how can i perform better,recommendation
goodbye,exit
what is the average of my marks,average
what steps can i take to improve,recommendation
how is my performance changing over time,trend
how can i improve,recommendation
tell me where my performance is weakest,lowest_subject
what is my maximum mark,highest_subject
see you later,exit
how am i doing academically,performance
which subject is my weakest in terms of marks,lowest_subject
should i worry about my academic performance,risk
which area should i focus on,recommendation
what should i focus on improving,recommendation
how many classes did i attend,attendance
how much did i score on average,average
what is my top subject,highest_subject
compare my current marks with my previous marks,trend
is my attendance good,attendance
what did i score,marks
i am done,exit
what is my attendance percentage,attendance
stop the assistant,exit
what is my minimum mark,lowest_subject
how much risk do i have,risk
exit,exit
end the conversation,exit
did i improve in my latest exam,trend
show me my exam scores,marks
can you show my scores,marks
how strong is my overall academic performance,performance
tell me my subject scores,marks
where did i get my lowest score,lowest_subject
how would you rate my studies,performance
tell me my marks,marks
can you evaluate my studies,performance
give me my marks details,marks
what is my overall marks average,average
how many classes have i attended,attendance
which subject has the highest marks,highest_subject
how much is my average score,average
did i score better in the latest exam,trend
how much attendance do i have,attendance
do i require academic attention,risk
how well am i doing academically,performance
which subject has my worst mark,lowest_subject
tell me my lowest score,lowest_subject
tell me my overall attendance,attendance
am i doing badly enough to need attention,risk
which subject has the best marks,highest_subject
has my performance improved since my previous exam,trend
what is my average percentage,average
which subject should i focus on,recommendation
i am leaving now,exit
is there an improvement in my marks,trend
stop chatting,exit
what changes should i make,recommendation
where did i perform the best,highest_subject
am i improving,trend
let's end this session,exit
is my current performance a concern,risk
which subject did i score the lowest in,lowest_subject
give me an assessment of my current performance,performance
what is my highest score,highest_subject
is there anything concerning about my results,risk
what is my performance status,performance
what do you think about my performance,performance
should i be worried about my marks,risk
which subject has my lowest marks,lowest_subject
how did my marks change between internal exams,trend
how is my attendance,attendance
where are my lowest marks,lowest_subject
which subject is my weakest,lowest_subject
which subject should i focus on improving,lowest_subject
tell me my current performance,performance
do i need attention,risk
close the chat,exit
should i be concerned about my results,risk
display my marks for each subject,marks
how would you describe my current performance,performance
has my academic performance improved,trend
